Skin	Heart	Brain	Muscle	Spleen	Adipose	Thyroid	Colon	Lung	Liver	Pituitary	Adrenal
MAP4K5	0	0	0	0	0	0	0	0	0	0	-1	0
TTC12	1	0	0	0	0	0	0	0	0	0	0	0
SAMD1	0	0	0	0	0	0	0	0	0	-1	0	0
LMOD1	-1	0	0	0	0	0	0	0	0	0	1	0
RHBDF2	0	0	0	0	0	0	0	0	0	0	1	0
CD53	-1	0	0	0	-1	0	-1	0	0	0	0	0
NID1	0	0	0	-1	0	0	0	0	0	0	0	0
PLPPR3	0	0	1	0	0	0	0	0	0	0	0	0
MVB12B	0	0	0	0	1	0	0	0	0	0	0	0
TOX2	0	0	0	0	0	0	-1	0	0	0	0	0
UBA3	0	0	0	0	0	-1	0	0	0	0	0	0
B3GALNT2	0	0	0	1	0	0	0	0	0	0	0	0
XRCC4	0	0	0	0	0	-1	0	0	0	0	0	0
SSH2	0	0	0	0	-1	0	0	0	0	0	0	0
ADAMTS13	0	0	0	0	0	1	1	0	0	0	0	0
WDHD1	0	0	0	0	0	0	-1	0	0	0	0	0
DPP3	0	0	0	0	0	0	0	0	-1	0	0	0
PPP1R15A	0	0	0	0	1	0	0	0	0	0	0	0
TIMP3	0	0	0	0	0	0	0	0	0	0	1	0
POLRMT	0	0	0	-1	0	0	0	0	0	0	0	0
FBXO30	0	0	0	0	0	0	0	0	0	0	-1	0
ASNS	0	0	0	0	0	0	0	0	0	0	0	-1
ZBTB40	0	0	0	0	0	0	0	0	0	0	-1	0
RSBN1	0	0	0	0	0	0	0	0	0	0	-1	0
RRP8	0	0	0	-1	0	0	0	0	0	0	0	0
FAM102A	0	0	1	0	0	0	0	0	0	0	0	0
PIP4K2B	0	0	0	1	0	0	0	0	0	0	0	0
SLC39A14	0	0	-1	0	0	0	0	0	0	0	0	0
SOD3	-1	0	0	0	0	0	0	-1	0	0	0	0
TNS2	0	0	0	0	0	0	0	0	0	0	1	1
MAPK8	0	0	0	1	0	0	0	0	0	0	0	-1
MVK	0	0	0	0	0	0	0	0	-1	0	0	0
KLHDC2	0	0	0	1	0	0	0	0	0	0	-1	0
TSPAN14	0	0	0	0	0	0	0	0	0	0	1	0
PAPLN	0	1	0	0	0	0	0	0	0	0	0	0
SSR4	0	0	0	0	0	0	0	0	0	1	0	0
SYBU	-1	0	0	0	0	0	-1	0	0	0	0	0
AP3M1	0	0	0	0	0	0	0	0	0	0	-1	-1
PXMP2	0	0	0	0	0	0	0	0	0	0	1	0
NSDHL	0	0	0	0	0	0	0	0	0	0	0	-1
UBE2G1	0	0	0	0	0	0	1	0	0	0	0	0
TCEA3	0	1	0	0	0	0	0	0	0	0	0	0
MASP1	-1	0	0	0	0	0	0	0	0	0	0	0
INPPL1	0	1	0	0	0	0	0	0	0	0	0	0
ARL1	0	0	0	0	0	0	0	0	0	0	0	-1
MAP3K3	0	0	0	0	0	0	0	0	0	0	0	1
POLR3D	0	0	0	0	0	-1	0	0	0	0	0	0
PXDC1	0	0	0	-1	0	0	0	0	0	-1	0	0
SCRN2	0	0	0	0	0	0	0	0	0	0	0	1
PDE4B	0	0	0	0	0	1	1	0	0	0	0	0
ALDH3B1	-1	0	0	0	0	0	0	0	0	0	0	0
SPOCK3	0	0	0	0	0	0	1	0	0	0	0	0
PLA1A	-1	0	0	0	0	0	0	0	0	0	0	0
RSPO3	0	0	0	0	0	0	0	0	1	0	0	0
SLIT2	0	0	0	0	0	0	1	0	0	0	0	0
PRPF39	0	0	0	0	0	0	0	0	0	0	-1	0
ZCCHC11	0	0	0	0	0	0	0	0	0	-1	-1	0
SLIRP	0	0	0	0	0	-1	0	0	0	0	0	0
PLIN3	0	-1	0	0	0	0	0	0	0	0	0	0
C2CD3	0	0	0	0	0	0	0	0	0	0	-1	0
TCF3	0	0	0	0	0	0	0	0	0	0	0	1
EMILIN3	0	0	0	0	0	0	0	0	0	0	1	0
ORMDL3	0	0	0	0	0	0	0	0	0	0	0	1
CREBRF	0	0	0	0	-1	0	0	0	0	0	0	0
HSDL2	0	0	-1	1	0	0	0	0	0	0	0	0
FSCN1	0	0	1	0	0	0	0	0	0	0	0	0
ADTRP	1	0	0	0	0	0	0	0	0	0	0	0
MAZ	0	0	0	0	1	0	0	0	0	0	0	0
OS9	0	0	0	0	0	0	0	0	0	0	0	1
LEF1	0	0	0	0	0	0	0	0	0	0	1	0
CXorf21	-1	0	0	0	0	0	0	0	0	0	0	0
NAPA	0	0	0	0	1	0	0	0	0	0	0	0
PSRC1	0	0	0	0	1	0	0	0	0	0	0	0
MPPED1	0	0	1	0	0	0	0	0	0	0	0	0
UGP2	0	0	0	0	0	0	0	0	0	1	0	0
LMNB2	0	0	0	0	0	-1	0	0	0	0	0	0
XPA	0	0	0	1	0	0	0	0	0	0	0	0
ATOH8	-1	0	0	0	0	0	0	-1	0	0	0	0
SCN1B	0	0	0	0	1	0	0	0	0	0	0	0
GEMIN5	0	0	0	0	0	-1	0	0	0	0	0	0
LPXN	0	0	0	0	0	1	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	-1	0	0	0	0	0
EIF3M	0	0	0	0	0	-1	0	0	0	0	0	0
MED11	0	1	0	0	0	0	0	0	0	0	0	0
CX3CL1	0	0	0	0	0	0	0	0	0	0	1	0
AGPAT2	0	0	0	-1	0	0	0	0	0	0	1	0
NDUFB9	0	0	0	1	0	-1	0	0	0	0	0	0
SLC25A32	0	0	0	0	0	-1	0	0	0	0	0	0
MROH1	0	0	0	0	0	0	-1	0	0	0	0	0
CCL17	0	0	0	0	0	0	0	0	-1	0	0	0
SP9	0	0	1	0	0	0	0	0	0	0	0	0
PRELID1	0	-1	0	-1	0	0	0	0	0	0	0	0
MAPK4	0	0	0	0	0	0	0	0	0	0	1	0
