HOG	OG	Gene Tree Parent Clade	Canislupusfamiliaris	Homosapiens	Macacafascicularis	Musmusculus	Rattusnorvegicus
N0.HOG0000000	OG0000000	n0	ENSCAFG00000047149.1, ENSCAFG00000046663.1, ENSCAFG00000043803.1, ENSCAFG00000046440.1, ENSCAFG00000045615.1, ENSCAFG00000048015.1, ENSCAFG00000045817.1, ENSCAFG00000044003.1, ENSCAFG00000046159.1, ENSCAFG00000044683.1, ENSCAFG00000049937.1, ENSCAFG00000046726.1, ENSCAFG00000047470.1, ENSCAFG00000048071.1, ENSCAFG00000047484.1, ENSCAFG00000049903.1, ENSCAFG00000048047.1, ENSCAFG00000043589.1, ENSCAFG00000041189.1, ENSCAFG00000046137.1, ENSCAFG00000048315.1, ENSCAFG00000045636.1, ENSCAFG00000043018.1, ENSCAFG00000045515.1, ENSCAFG00000041137.1, ENSCAFG00000046268.1, ENSCAFG00000050059.1, ENSCAFG00000045892.1, ENSCAFG00000048180.1, ENSCAFG00000044426.1, ENSCAFG00000047588.1, ENSCAFG00000047532.1, ENSCAFG00000043911.1, ENSCAFG00000042527.1, ENSCAFG00000046284.1, ENSCAFG00000044075.1, ENSCAFG00000044894.1, ENSCAFG00000049344.1, ENSCAFG00000047766.1, ENSCAFG00000048960.1, ENSCAFG00000049004.1, ENSCAFG00000047094.1, ENSCAFG00000046728.1, ENSCAFG00000048353.1, ENSCAFG00000047898.1, ENSCAFG00000042553.1, ENSCAFG00000044487.1, ENSCAFG00000041536.1, ENSCAFG00000042345.1, ENSCAFG00000043777.1, ENSCAFG00000043550.1, ENSCAFG00000043327.1, ENSCAFG00000048244.1, ENSCAFG00000045550.1, ENSCAFG00000047611.1, ENSCAFG00000042040.1, ENSCAFG00000044963.1, ENSCAFG00000045155.1, ENSCAFG00000042894.1, ENSCAFG00000048359.1, ENSCAFG00000049465.1, ENSCAFG00000043432.1, ENSCAFG00000044617.1, ENSCAFG00000043623.1, ENSCAFG00000047312.1, ENSCAFG00000045070.1, ENSCAFG00000049437.1, ENSCAFG00000042195.1, ENSCAFG00000049423.1, ENSCAFG00000042828.1, ENSCAFG00000043118.1, ENSCAFG00000041887.1, ENSCAFG00000041359.1, ENSCAFG00000047231.1, ENSCAFG00000047558.1, ENSCAFG00000043343.1, ENSCAFG00000042031.1, ENSCAFG00000047069.1, ENSCAFG00000049521.1, ENSCAFG00000042720.1, ENSCAFG00000048452.1, ENSCAFG00000044623.1, ENSCAFG00000042058.1, ENSCAFG00000043772.1, ENSCAFG00000041458.1, ENSCAFG00000042348.1, ENSCAFG00000046371.1, ENSCAFG00000045334.1, ENSCAFG00000043251.1, ENSCAFG00000043562.1, ENSCAFG00000045148.1, ENSCAFG00000047825.1, ENSCAFG00000032555.2, ENSCAFG00000042278.1, ENSCAFG00000048198.1, ENSCAFG00000049607.1, ENSCAFG00000049033.1, ENSCAFG00000042786.1, ENSCAFG00000047771.1, ENSCAFG00000041374.1, ENSCAFG00000043024.1, ENSCAFG00000043816.1, ENSCAFG00000047568.1, ENSCAFG00000042618.1, ENSCAFG00000042304.1, ENSCAFG00000043032.1, ENSCAFG00000045004.1, ENSCAFG00000044719.1, ENSCAFG00000044610.1, ENSCAFG00000043527.1, ENSCAFG00000049446.1, ENSCAFG00000045995.1, ENSCAFG00000049823.1, ENSCAFG00000049684.1, ENSCAFG00000046436.1, ENSCAFG00000046760.1, ENSCAFG00000032531.2, ENSCAFG00000048513.1, ENSCAFG00000048158.1, ENSCAFG00000044907.1, ENSCAFG00000046997.1, ENSCAFG00000043485.1, ENSCAFG00000047785.1, ENSCAFG00000049237.1, ENSCAFG00000046057.1, ENSCAFG00000048821.1, ENSCAFG00000043724.1, ENSCAFG00000049264.1, ENSCAFG00000048455.1, ENSCAFG00000048504.1, ENSCAFG00000043452.1, ENSCAFG00000045944.1, ENSCAFG00000048351.1, ENSCAFG00000041774.1, ENSCAFG00000044460.1, ENSCAFG00000046559.1, ENSCAFG00000047397.1, ENSCAFG00000045182.1, ENSCAFG00000047028.1, ENSCAFG00000049536.1, ENSCAFG00000044227.1, ENSCAFG00000048196.1, ENSCAFG00000042695.1, ENSCAFG00000046984.1, ENSCAFG00000047135.1, ENSCAFG00000045490.1, ENSCAFG00000043590.1, ENSCAFG00000043604.1, ENSCAFG00000047680.1, ENSCAFG00000048802.1, ENSCAFG00000049778.1, ENSCAFG00000044776.1, ENSCAFG00000043759.1, ENSCAFG00000049530.1, ENSCAFG00000047043.1, ENSCAFG00000048825.1, ENSCAFG00000047550.1, ENSCAFG00000045439.1, ENSCAFG00000047618.1, ENSCAFG00000048350.1, ENSCAFG00000048509.1, ENSCAFG00000047696.1, ENSCAFG00000042284.1, ENSCAFG00000044667.1, ENSCAFG00000047704.1, ENSCAFG00000046174.1, ENSCAFG00000049938.1, ENSCAFG00000046938.1, ENSCAFG00000041062.1, ENSCAFG00000046414.1, ENSCAFG00000041675.1, ENSCAFG00000041607.1, ENSCAFG00000047380.1, ENSCAFG00000045442.1, ENSCAFG00000041166.1, ENSCAFG00000044916.1, ENSCAFG00000047388.1, ENSCAFG00000049544.1, ENSCAFG00000043676.1, ENSCAFG00000045922.1, ENSCAFG00000042669.1, ENSCAFG00000049390.1, ENSCAFG00000050081.1, ENSCAFG00000041493.1, ENSCAFG00000041733.1, ENSCAFG00000049809.1, ENSCAFG00000044217.1, ENSCAFG00000045861.1, ENSCAFG00000044172.1, ENSCAFG00000044049.1, ENSCAFG00000042401.1, ENSCAFG00000042083.1, ENSCAFG00000043217.1, ENSCAFG00000046511.1, ENSCAFG00000049173.1, ENSCAFG00000048467.1, ENSCAFG00000048486.1, ENSCAFG00000042216.1, ENSCAFG00000044886.1, ENSCAFG00000041989.1, ENSCAFG00000044380.1, ENSCAFG00000046698.1, ENSCAFG00000043995.1, ENSCAFG00000049458.1, ENSCAFG00000048673.1, ENSCAFG00000048893.1, ENSCAFG00000042450.1, ENSCAFG00000045321.1, ENSCAFG00000049317.1, ENSCAFG00000049663.1, ENSCAFG00000043918.1, ENSCAFG00000041745.1, ENSCAFG00000042740.1, ENSCAFG00000048666.1, ENSCAFG00000048924.1, ENSCAFG00000048106.1, ENSCAFG00000044067.1, ENSCAFG00000048224.1, ENSCAFG00000048987.1, ENSCAFG00000048338.1, ENSCAFG00000045946.1, ENSCAFG00000048788.1, ENSCAFG00000049393.1, ENSCAFG00000041291.1, ENSCAFG00000049008.1, ENSCAFG00000041574.1, ENSCAFG00000041089.1, ENSCAFG00000048980.1, ENSCAFG00000043578.1, ENSCAFG00000047498.1, ENSCAFG00000047837.1, ENSCAFG00000049738.1, ENSCAFG00000042622.1, ENSCAFG00000042954.1, ENSCAFG00000041085.1, ENSCAFG00000045295.1, ENSCAFG00000043090.1, ENSCAFG00000046617.1, ENSCAFG00000042423.1, ENSCAFG00000043594.1, ENSCAFG00000050024.1, ENSCAFG00000048540.1, ENSCAFG00000049364.1, ENSCAFG00000049504.1, ENSCAFG00000045866.1, ENSCAFG00000048653.1, ENSCAFG00000046212.1, ENSCAFG00000047967.1, ENSCAFG00000041237.1, ENSCAFG00000047911.1, ENSCAFG00000041784.1, ENSCAFG00000046222.1, ENSCAFG00000042087.1, ENSCAFG00000049584.1, ENSCAFG00000040975.1, ENSCAFG00000046950.1, ENSCAFG00000041732.1, ENSCAFG00000045291.1, ENSCAFG00000044440.1, ENSCAFG00000044043.1, ENSCAFG00000042339.1, ENSCAFG00000045385.1, ENSCAFG00000045741.1, ENSCAFG00000049956.1, ENSCAFG00000046280.1, ENSCAFG00000044248.1, ENSCAFG00000041102.1, ENSCAFG00000047908.1, ENSCAFG00000048929.1, ENSCAFG00000043839.1, ENSCAFG00000046078.1, ENSCAFG00000045972.1, ENSCAFG00000049561.1, ENSCAFG00000045397.1, ENSCAFG00000050008.1, ENSCAFG00000049498.1, ENSCAFG00000045637.1, ENSCAFG00000044493.1, ENSCAFG00000045715.1, ENSCAFG00000041889.1, ENSCAFG00000049451.1, ENSCAFG00000043864.1, ENSCAFG00000049834.1, ENSCAFG00000049529.1, ENSCAFG00000045108.1, ENSCAFG00000044194.1, ENSCAFG00000049351.1, ENSCAFG00000049872.1, ENSCAFG00000041814.1, ENSCAFG00000044564.1, ENSCAFG00000046432.1, ENSCAFG00000048577.1, ENSCAFG00000048737.1, ENSCAFG00000046877.1, ENSCAFG00000043454.1, ENSCAFG00000042550.1, ENSCAFG00000041719.1, ENSCAFG00000047585.1, ENSCAFG00000042033.1, ENSCAFG00000048814.1, ENSCAFG00000043156.1, ENSCAFG00000043914.1, ENSCAFG00000042532.1, ENSCAFG00000049418.1, ENSCAFG00000049980.1, ENSCAFG00000046614.1, ENSCAFG00000047739.1, ENSCAFG00000046080.1, ENSCAFG00000043418.1, ENSCAFG00000049870.1, ENSCAFG00000040998.1, ENSCAFG00000048708.1, ENSCAFG00000048556.1, ENSCAFG00000047506.1, ENSCAFG00000045803.1, ENSCAFG00000049268.1, ENSCAFG00000049444.1, ENSCAFG00000043852.1, ENSCAFG00000045947.1, ENSCAFG00000049276.1, ENSCAFG00000047576.1, ENSCAFG00000042102.1, ENSCAFG00000041969.1, ENSCAFG00000047651.1, ENSCAFG00000048945.1, ENSCAFG00000042387.1, ENSCAFG00000043233.1, ENSCAFG00000045130.1, ENSCAFG00000049150.1, ENSCAFG00000043421.1, ENSCAFG00000042691.1, ENSCAFG00000046283.1, ENSCAFG00000042469.1, ENSCAFG00000048087.1, ENSCAFG00000049630.1, ENSCAFG00000042023.1, ENSCAFG00000042592.1, ENSCAFG00000048903.1, ENSCAFG00000044209.1, ENSCAFG00000042077.1, ENSCAFG00000042205.1, ENSCAFG00000046393.1, ENSCAFG00000043529.1, ENSCAFG00000049875.1, ENSCAFG00000042111.1, ENSCAFG00000049720.1, ENSCAFG00000049466.1, ENSCAFG00000046967.1, ENSCAFG00000042794.1, ENSCAFG00000041409.1, ENSCAFG00000042477.1, ENSCAFG00000046552.1, ENSCAFG00000042051.1, ENSCAFG00000048332.1, ENSCAFG00000041966.1, ENSCAFG00000044862.1, ENSCAFG00000044553.1, ENSCAFG00000044547.1, ENSCAFG00000044837.1, ENSCAFG00000047823.1, ENSCAFG00000047851.1, ENSCAFG00000043614.1, ENSCAFG00000046712.1, ENSCAFG00000047015.1, ENSCAFG00000043718.1, ENSCAFG00000042389.1, ENSCAFG00000044398.1, ENSCAFG00000045991.1, ENSCAFG00000047290.1, ENSCAFG00000041278.1, ENSCAFG00000049110.1, ENSCAFG00000041746.1, ENSCAFG00000044854.1				
N0.HOG0000001	OG0000001	n0		ENSG00000274692.1, ENSG00000275750.1, ENSG00000275276.1, ENSG00000278248.1, ENSG00000274926.1, ENSG00000278503.1, ENSG00000274782.1, ENSG00000276310.1, ENSG00000278755.1, ENSG00000273510.1, ENSG00000288316.1, ENSG00000284580.3, ENSG00000278738.5, ENSG00000278207.1, ENSG00000276820.1, ENSG00000275080.5, ENSG00000276387.4, ENSG00000283722.3, ENSG00000275921.5, ENSG00000284217.3, ENSG00000274739.1, ENSG00000277650.1, ENSG00000274563.1, ENSG00000278306.1, ENSG00000277657.1, ENSG00000277163.1, ENSG00000284039.3, ENSG00000275500.1, ENSG00000278086.1, ENSG00000277193.1, ENSG00000275599.1, ENSG00000276676.5, ENSG00000275047.1, ENSG00000275253.1, ENSG00000274518.1, ENSG00000278300.4, ENSG00000275731.1, ENSG00000274406.1, ENSG00000276885.1, ENSG00000276634.1, ENSG00000284264.3, ENSG00000283882.3, ENSG00000276154.1, ENSG00000283870.3, ENSG00000274957.1, ENSG00000275353.1, ENSG00000276395.1, ENSG00000274947.1, ENSG00000275583.5, ENSG00000276425.1, ENSG00000275735.1, ENSG00000275452.2, ENSG00000278369.1, ENSG00000276468.5, ENSG00000278152.2, ENSG00000277251.5, ENSG00000274412.5, ENSG00000278692.1, ENSG00000275960.4, ENSG00000276011.1, ENSG00000275407.1, ENSG00000275914.5, ENSG00000275546.5, ENSG00000284555.3, ENSG00000283716.3, ENSG00000284225.3, ENSG00000278731.5, ENSG00000276731.1, ENSG00000273661.5, ENSG00000277725.5, ENSG00000273578.1, ENSG00000284511.3, ENSG00000284033.2, ENSG00000277885.1, ENSG00000275737.1, ENSG00000276258.1, ENSG00000276139.4, ENSG00000274438.1, ENSG00000273517.1, ENSG00000275421.1, ENSG00000278120.1, ENSG00000284120.3, ENSG00000284560.3, ENSG00000283937.3, ENSG00000284150.3, ENSG00000273603.1, ENSG00000275306.1, ENSG00000276327.1, ENSG00000278304.1, ENSG00000275196.1, ENSG00000278805.1, ENSG00000277616.1, ENSG00000277356.1, ENSG00000125498.20, ENSG00000284347.2, ENSG00000284401.2, ENSG00000277833.4, ENSG00000276625.4, ENSG00000278821.4, ENSG00000278495.4, ENSG00000284551.2, ENSG00000284514.2, ENSG00000284530.2, ENSG00000273794.4, ENSG00000284100.2, ENSG00000275522.4, ENSG00000283723.2, ENSG00000284145.2			
N0.HOG0000002	OG0000002	n1	ENSCAFG00000045674.1, ENSCAFG00000043363.1	ENSG00000270472.2, ENSG00000277836.1	ENSMFAG00000028048.1		ENSRNOG00000047308.1
N0.HOG0000003	OG0000002	n7	ENSCAFG00000030900.2	ENSG00000277856.1	ENSMFAG00000045830.1		
N0.HOG0000004	OG0000002	n10	ENSCAFG00000044771.1, ENSCAFG00000043189.1, ENSCAFG00000045676.1, ENSCAFG00000045680.1, ENSCAFG00000045461.1, ENSCAFG00000029624.2, ENSCAFG00000044861.1, ENSCAFG00000030894.2, ENSCAFG00000049081.1, ENSCAFG00000043645.1, ENSCAFG00000041353.1, ENSCAFG00000028509.2, ENSCAFG00000045080.1, ENSCAFG00000047549.1, ENSCAFG00000046465.1, ENSCAFG00000049690.1, ENSCAFG00000045835.1, ENSCAFG00000043408.1, ENSCAFG00000047346.1				
N0.HOG0000005	OG0000002	n30		ENSG00000282644.1, ENSG00000282639.1, ENSG00000223648.4, ENSG00000274236.3, ENSG00000281962.1, ENSG00000211972.2, ENSG00000282045.1, ENSG00000211967.3, ENSG00000282593.1, ENSG00000233732.5, ENSG00000211949.3			
N0.HOG0000006	OG0000002	n43		ENSG00000278042.2, ENSG00000225698.3, ENSG00000259490.2, ENSG00000288429.1, ENSG00000273539.3, ENSG00000211976.2		ENSMUSG00000076671.5, ENSMUSG00000095700.2, ENSMUSG00000095981.1, ENSMUSG00000076665.4, ENSMUSG00000076652.4, ENSMUSG00000076668.4, ENSMUSG00000076653.4	ENSRNOG00000060184.1, ENSRNOG00000055130.1, ENSRNOG00000042996.3, ENSRNOG00000058824.1, ENSRNOG00000033376.4
N0.HOG0000007	OG0000002	n60		ENSG00000282305.1, ENSG00000271178.1, ENSG00000224650.2, ENSG00000282211.1, ENSG00000211938.2, ENSG00000282322.1, ENSG00000211941.3, ENSG00000282281.1, ENSG00000211947.2, ENSG00000211964.3, ENSG00000282627.1		ENSMUSG00000094194.2, ENSMUSG00000095429.1, ENSMUSG00000095285.2, ENSMUSG00000094951.1, ENSMUSG00000095612.2, ENSMUSG00000103033.1, ENSMUSG00000094134.2, ENSMUSG00000095571.2	ENSRNOG00000058562.1, ENSRNOG00000055719.1, ENSRNOG00000056285.1, ENSRNOG00000056828.1, ENSRNOG00000031848.5, ENSRNOG00000050102.1, ENSRNOG00000051653.1, ENSRNOG00000050118.1, ENSRNOG00000059121.1, ENSRNOG00000050944.1
N0.HOG0000008	OG0000002	n88		ENSG00000270550.1, ENSG00000211955.2, ENSG00000282777.1, ENSG00000282642.1, ENSG00000282150.1			
N0.HOG0000009	OG0000002	n92		ENSG00000232216.1, ENSG00000282151.1			
