Row.names,Gene.human.stable.ID,Macaque.gene.stable.ID,Mouse.gene.stable.ID,Rat.gene.stable.ID,Dog.gene.stable.ID
A1CF,ENSG00000148584,ENSMFAG00000035948,ENSMUSG00000052595,ENSRNOG00000033195,ENSCAFG00000015581
A4GALT,ENSG00000128274,ENSMFAG00000030432,ENSMUSG00000047878,ENSRNOG00000009736,ENSCAFG00000000946
AAAS,ENSG00000094914,ENSMFAG00000039804,ENSMUSG00000036678,ENSRNOG00000013445,ENSCAFG00000006963
AACS,ENSG00000081760,ENSMFAG00000028497,ENSMUSG00000029482,ENSRNOG00000000967,ENSCAFG00000006931
AADAC,ENSG00000114771,ENSMFAG00000031479,ENSMUSG00000027761,ENSRNOG00000013950,ENSCAFG00000008554
AADACL3,ENSG00000188984,ENSMFAG00000038244,ENSMUSG00000078507,ENSRNOG00000026613,ENSCAFG00000016370
AADAT,ENSG00000109576,ENSMFAG00000042881,ENSMUSG00000057228,ENSRNOG00000011861,ENSCAFG00000007683
AAGAB,ENSG00000103591,ENSMFAG00000040550,ENSMUSG00000037257,ENSRNOG00000008424,ENSCAFG00000017414
AAK1,ENSG00000115977,ENSMFAG00000032641,ENSMUSG00000057230,ENSRNOG00000018317,ENSCAFG00000003309
AAMDC,ENSG00000087884,ENSMFAG00000034422,ENSMUSG00000035642,ENSRNOG00000012584,ENSCAFG00000004861
AAMP,ENSG00000127837,ENSMFAG00000034415,ENSMUSG00000006299,ENSRNOG00000014399,ENSCAFG00000014625
AANAT,ENSG00000129673,ENSMFAG00000030450,ENSMUSG00000020804,ENSRNOG00000011182,ENSCAFG00000005090
AAR2,ENSG00000131043,ENSMFAG00000030564,ENSMUSG00000027628,ENSRNOG00000020086,ENSCAFG00000008435
AARS,ENSG00000090861,ENSMFAG00000002309,ENSMUSG00000031960,ENSRNOG00000018404,ENSCAFG00000020132
AARS2,ENSG00000124608,ENSMFAG00000037353,ENSMUSG00000023938,ENSRNOG00000025808,ENSCAFG00000001989
AASDH,ENSG00000157426,ENSMFAG00000033449,ENSMUSG00000055923,ENSRNOG00000002137,ENSCAFG00000002209
AASDHPPT,ENSG00000149313,ENSMFAG00000046243,ENSMUSG00000025894,ENSRNOG00000005795,ENSCAFG00000014775
AASS,ENSG00000008311,ENSMFAG00000038411,ENSMUSG00000029695,ENSRNOG00000039494,ENSCAFG00000003532
AATF,ENSG00000275700,ENSMFAG00000003108,ENSMUSG00000018697,ENSRNOG00000002778,ENSCAFG00000017869
AATK,ENSG00000181409,ENSMFAG00000036002,ENSMUSG00000025375,ENSRNOG00000004392,ENSCAFG00000005705
ABAT,ENSG00000183044,ENSMFAG00000032053,ENSMUSG00000057880,ENSRNOG00000002636,ENSCAFG00000019030
ABCA1,ENSG00000165029,ENSMFAG00000002145,ENSMUSG00000015243,ENSRNOG00000018126,ENSCAFG00000002727
ABCA12,ENSG00000144452,ENSMFAG00000041527,ENSMUSG00000050296,ENSRNOG00000015248,ENSCAFG00000014278
ABCA2,ENSG00000107331,ENSMFAG00000036403,ENSMUSG00000026944,ENSRNOG00000014268,ENSCAFG00000023212
ABCA3,ENSG00000167972,ENSMFAG00000033360,ENSMUSG00000024130,ENSRNOG00000050057,ENSCAFG00000019379
ABCA4,ENSG00000198691,ENSMFAG00000032139,ENSMUSG00000028125,ENSRNOG00000012892,ENSCAFG00000020121
ABCA5,ENSG00000154265,ENSMFAG00000041992,ENSMUSG00000018800,ENSRNOG00000004378,ENSCAFG00000010810
ABCA7,ENSG00000064687,ENSMFAG00000003292,ENSMUSG00000035722,ENSRNOG00000012939,ENSCAFG00000019617
ABCA8,ENSG00000141338,ENSMFAG00000046401,ENSMUSG00000020620,ENSRNOG00000004040,ENSCAFG00000024916
ABCA9,ENSG00000154258,ENSMFAG00000042813,ENSMUSG00000041797,ENSRNOG00000059326,ENSCAFG00000010877
ABCB10,ENSG00000135776,ENSMFAG00000002787,ENSMUSG00000031974,ENSRNOG00000017993,ENSCAFG00000012137
ABCB11,ENSG00000073734,ENSMFAG00000037604,ENSMUSG00000027048,ENSRNOG00000050860,ENSCAFG00000011980
ABCB6,ENSG00000115657,ENSMFAG00000044424,ENSMUSG00000026198,ENSRNOG00000018697,ENSCAFG00000015130
ABCB7,ENSG00000131269,ENSMFAG00000041203,ENSMUSG00000031333,ENSRNOG00000002790,ENSCAFG00000017214
ABCB8,ENSG00000197150,ENSMFAG00000037503,ENSMUSG00000028973,ENSRNOG00000008557,ENSCAFG00000004698
ABCB9,ENSG00000150967,ENSMFAG00000002483,ENSMUSG00000029408,ENSRNOG00000001082,ENSCAFG00000007676
ABCC10,ENSG00000124574,ENSMFAG00000036554,ENSMUSG00000032842,ENSRNOG00000018863,ENSCAFG00000001853
ABCC2,ENSG00000023839,ENSMFAG00000042907,ENSMUSG00000025194,ENSRNOG00000046727,ENSCAFG00000009536
ABCC4,ENSG00000125257,ENSMFAG00000042513,ENSMUSG00000032849,ENSRNOG00000010064,ENSCAFG00000005433
ABCC5,ENSG00000114770,ENSMFAG00000038091,ENSMUSG00000022822,ENSRNOG00000029178,ENSCAFG00000012085
ABCC6,ENSG00000091262,ENSMFAG00000001420,ENSMUSG00000030834,ENSRNOG00000028781,ENSCAFG00000018197
ABCC8,ENSG00000006071,ENSMFAG00000035952,ENSMUSG00000040136,ENSRNOG00000021130,ENSCAFG00000008779
ABCC9,ENSG00000069431,ENSMFAG00000041870,ENSMUSG00000030249,ENSRNOG00000036960,ENSCAFG00000012066
ABCD1,ENSG00000101986,ENSMFAG00000044729,ENSMUSG00000031378,ENSRNOG00000056524,ENSCAFG00000019247
ABCD2,ENSG00000173208,ENSMFAG00000002050,ENSMUSG00000055782,ENSRNOG00000015538,ENSCAFG00000010022
ABCD3,ENSG00000117528,ENSMFAG00000044222,ENSMUSG00000028127,ENSRNOG00000011929,ENSCAFG00000020112
ABCD4,ENSG00000119688,ENSMFAG00000031273,ENSMUSG00000021240,ENSRNOG00000011964,ENSCAFG00000016923
ABCE1,ENSG00000164163,ENSMFAG00000038310,ENSMUSG00000058355,ENSRNOG00000018345,ENSCAFG00000007597
ABCF1,ENSG00000204574,ENSMFAG00000001346,ENSMUSG00000038762,ENSRNOG00000000799,ENSCAFG00000030478
ABCF2,ENSG00000033050,ENSMFAG00000034542,ENSMUSG00000028953,ENSRNOG00000010609,ENSCAFG00000004830
ABCF3,ENSG00000161204,ENSMFAG00000000479,ENSMUSG00000003234,ENSRNOG00000001710,ENSCAFG00000012340
ABCG1,ENSG00000160179,ENSMFAG00000035347,ENSMUSG00000024030,ENSRNOG00000001158,ENSCAFG00000010285
